wavelength_um,radius_arcsec
2.6021495,0.45
2.6044457,0.45
2.6067417,0.45
2.6090376,0.45
2.6113338,0.45
2.6136298,0.45
2.6159258,0.45
2.618222,0.45
2.620518,0.45
2.622814,0.45
2.62511,0.45
2.6274061,0.45
2.629702,0.45
2.631998,0.45
2.6342943,0.45
2.6365902,0.45
2.6388862,0.45
2.6411824,0.45
2.6434784,0.45
2.6457744,0.45
2.6480703,0.45
2.6503665,0.45
2.6526625,0.45
2.6549585,0.45
2.6572547,0.45
2.6595507,0.45
2.6618466,0.45
2.6641428,0.45
2.6664388,0.45
2.6687348,0.45
2.6710308,0.45
2.673327,0.45
2.675623,0.45
2.677919,0.45
2.6802151,0.45
2.682511,0.45
2.684807,0.45
2.6871033,0.45
2.6893992,0.45
2.6916952,0.45
2.6939914,0.45
2.6962874,0.45
2.6985834,0.45
2.7008793,0.45
2.7031755,0.45
2.7054715,0.45
2.7077675,0.45
2.7100637,0.45
2.7123597,0.45
2.7146556,0.45
2.7169518,0.45
2.7192478,0.45
2.7215438,0.45
2.7238398,0.45
2.726136,0.45
2.728432,0.45
2.730728,0.45
2.7330241,0.45
2.73532,0.45
2.737616,0.45
2.7399123,0.45
2.7422082,0.45
2.7445042,0.45
2.7468002,0.45
2.7490964,0.45
2.7513924,0.45
2.7536883,0.45
2.7559845,0.45
2.7582805,0.45
2.7605765,0.45
2.7628727,0.45
2.7651687,0.45
2.7674646,0.45
2.7697606,0.45
2.7720568,0.45
2.7743528,0.45
2.7766488,0.45
2.778945,0.45
2.781241,0.45
2.783537,0.45
2.7858331,0.45
2.788129,0.45
2.790425,0.45
2.7927213,0.45
2.7950172,0.45
2.7973132,0.45
2.7996092,0.45
2.8019054,0.45
2.8042014,0.45
2.8064973,0.45
2.8087935,0.45
2.8110895,0.45
2.8133855,0.45
2.8156817,0.45
2.8179777,0.45
2.8202736,0.45
2.8225696,0.45
2.8248658,0.45
2.8271618,0.45
2.8294578,0.45
2.831754,0.45
2.83405,0.45
2.836346,0.45
2.8386421,0.45
2.840938,0.45
2.843234,0.45
2.84553,0.45
2.8478262,0.45
2.8501222,0.45
2.8524182,0.45
2.8547144,0.45
2.8570104,0.45
2.8593063,0.45
2.8616025,0.45
2.8638985,0.45
2.8661945,0.45
2.8684907,0.45
2.8707867,0.45
2.8730826,0.45
2.8753786,0.45
2.8776748,0.45
2.8799708,0.45
2.8822668,0.45
2.884563,0.45
2.886859,0.45
2.889155,0.45
2.8914511,0.45
2.893747,0.45
2.896043,0.45
2.898339,0.45
2.9006352,0.45
2.9029312,0.45
2.9052272,0.45
2.9075234,0.45
2.9098194,0.45
2.9121153,0.45
2.9144115,0.45
2.9167075,0.45
